mode,V_start,V_end,window_V,n_points,n_features,n_components,R2_LOO,RMSE_LOO,composite,V_selected
I,0.5,0.72,0.22,3,3,2,0.91127,0.42779,0.90874,"[np.float64(0.4996), np.float64(0.6096), np.float64(0.7195)]"
both,0.5,0.76,0.26,2,4,2,0.91119,0.42799,0.90867,"[np.float64(0.4996), np.float64(0.7595)]"
I,0.5,0.75,0.25,2,2,2,0.91106,0.4283,0.90857,"[np.float64(0.4996), np.float64(0.7495)]"
both,0.5,0.77,0.27,4,8,2,0.91099,0.42846,0.90851,"[np.float64(0.4996), np.float64(0.5896), np.float64(0.6795), np.float64(0.7695)]"
both,0.4,0.76,0.36,5,10,2,0.91093,0.4286,0.90846,"[np.float64(0.3996), np.float64(0.4896), np.float64(0.5796), np.float64(0.6695), np.float64(0.7595)]"
both,0.45,0.77,0.32,4,8,2,0.91088,0.42872,0.90842,"[np.float64(0.4496), np.float64(0.5596), np.float64(0.6595), np.float64(0.7695)]"
both,0.55,0.77,0.22,3,6,1,0.91085,0.42881,0.90839,"[np.float64(0.5496), np.float64(0.6595), np.float64(0.7695)]"
I,0.55,0.77,0.22,5,5,2,0.91082,0.42886,0.90837,"[np.float64(0.5496), np.float64(0.6096), np.float64(0.6595), np.float64(0.7095), np.float64(0.7695)]"
I,0.45,0.74,0.29,4,4,3,0.91062,0.42936,0.9082,"[np.float64(0.4496), np.float64(0.5496), np.float64(0.6396), np.float64(0.7395)]"
both,0.55,0.79,0.24,6,12,2,0.91057,0.42947,0.90817,"[np.float64(0.5496), np.float64(0.5996), np.float64(0.6495), np.float64(0.6895), np.float64(0.7395), np.float64(0.7894)]"
both,0.5,0.79,0.29,2,4,3,0.91038,0.42993,0.90801,"[np.float64(0.4996), np.float64(0.7894)]"
both,0.5,0.77,0.27,2,4,2,0.91035,0.43001,0.90798,"[np.float64(0.4996), np.float64(0.7695)]"
both,0.55,0.8,0.25,5,10,2,0.91033,0.43006,0.90797,"[np.float64(0.5496), np.float64(0.6096), np.float64(0.6695), np.float64(0.7395), np.float64(0.7994)]"
both,0.5,0.8,0.3,2,4,3,0.91029,0.43016,0.90793,"[np.float64(0.4996), np.float64(0.7994)]"
I,0.55,0.75,0.2,2,2,2,0.91023,0.43029,0.90789,"[np.float64(0.5496), np.float64(0.7495)]"
both,0.55,0.77,0.22,2,4,2,0.91008,0.43066,0.90777,"[np.float64(0.5496), np.float64(0.7695)]"
I,0.5,0.77,0.27,6,6,2,0.91005,0.43073,0.90774,"[np.float64(0.4996), np.float64(0.5496), np.float64(0.6096), np.float64(0.6595), np.float64(0.7195), np.float64(0.7695)]"
both,0.4,0.75,0.35,2,4,2,0.90986,0.43118,0.90759,"[np.float64(0.3996), np.float64(0.7495)]"
I,0.5,0.76,0.26,4,4,2,0.9095,0.43203,0.9073,"[np.float64(0.4996), np.float64(0.5896), np.float64(0.6695), np.float64(0.7595)]"
both,0.5,0.77,0.27,6,12,2,0.90951,0.43202,0.9073,"[np.float64(0.4996), np.float64(0.5496), np.float64(0.6096), np.float64(0.6595), np.float64(0.7195), np.float64(0.7695)]"
both,0.55,0.78,0.23,5,10,2,0.90936,0.43238,0.90718,"[np.float64(0.5496), np.float64(0.6096), np.float64(0.6695), np.float64(0.7195), np.float64(0.7795)]"
both,0.5,0.74,0.24,3,6,2,0.90932,0.43246,0.90715,"[np.float64(0.4996), np.float64(0.6196), np.float64(0.7395)]"
both,0.45,0.69,0.24,2,4,2,0.90921,0.43272,0.90706,"[np.float64(0.4496), np.float64(0.6895)]"
